1723820975188	-16.52965	-68.0689647	22	1	19	0
1723820980478	-16.5296396	-68.0689649	22	1	16	0
1723820985648	-16.5296391	-68.0689657	22	1	7	0
1723820990457	-16.5296392	-68.0689747	22	1	10	0
1723820995541	-16.5296355	-68.0689835	22	1	13	0
1723821000792	-16.5296282	-68.0689948	22	1	13	0
1723821005673	-16.5296323	-68.0689899	22	1	14	0
1723821011016	-16.5296441	-68.0689787	22	1	13	0
1723821015860	-16.5296421	-68.0689786	22	1	12	0
1723821020862	-16.5296429	-68.0689788	22	1	22	0
1723821022329	-16.5296507	-68.0689719	22	1	16	0
1723821026021	-16.5296483	-68.0689709	22	1	14	0
1723821030868	-16.5296494	-68.0689758	22	1	9	0
1723821035888	-16.5296502	-68.0689727	22	1	8	1
1723821041079	-16.5296438	-68.0689762	22	1	13	1
1723821045914	-16.5296494	-68.0689674	22	1	13	1
1723821050983	-16.5296498	-68.0689685	22	1	12	1
1723821055980	-16.5296414	-68.0689761	22	1	12	1
1723821061165	-16.5296548	-68.068965	22	1	13	1
1723821066222	-16.5296556	-68.0689645	22	1	13	1
1723821070963	-16.5296525	-68.0689671	22	1	12	1
1723821075946	-16.5296454	-68.0689729	22	1	13	1
1723821081396	-16.5296492	-68.0689712	22	1	13	1
1723821086168	-16.5296518	-68.0689703	22	1	12	1
1723821091239	-16.5296538	-68.0689697	22	1	13	1
1723821096528	-16.5296528	-68.0689688	22	1	13	1
1723821101320	-16.5296498	-68.0689679	22	1	13	1
1723821106503	-16.5296579	-68.0689652	22	1	13	1
1723821111283	-16.5296568	-68.0689658	22	1	13	1
1723821116613	-16.5296588	-68.0689652	22	1	12	1
1723821121528	-16.5296509	-68.0689675	22	1	12	1
1723821126625	-16.5296498	-68.0689684	22	1	12	1
1723821131855	-16.5296597	-68.0689622	22	1	11	1
1723821136875	-16.5296559	-68.0689666	22	1	12	1
1723821141662	-16.5296526	-68.0689682	22	1	13	1
1723821146769	-16.5296588	-68.0689639	22	1	12	1
1723821151829	-16.5296578	-68.0689635	22	1	12	1
1723821156902	-16.5296548	-68.0689664	22	1	12	1
1723821161871	-16.5296522	-68.0689664	22	1	12	1
1723821167043	-16.529654	-68.0689629	22	1	12	1
1723821171869	-16.529663	-68.0689616	22	1	12	1
1723821177016	-16.5296547	-68.0689638	22	1	12	1
1723821181873	-16.5296583	-68.0689626	22	1	12	1
1723821186909	-16.5296614	-68.0689617	22	1	11	1
